E L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16
900 .83542 0 0.16437 0 0.00021 0 0 0 0 0 0 0 0 0 0 0 0
1030 .83465 0 0.16513 0 0.00022 0 0 0 0 0 0 0 0 0 0 0 0
1135 .83414 0 0.16563 0 0.00023 0 0 0 0 0 0 0 0 0 0 0 0
1500 .83201 0 0.16773 0 0.00026 0 0 0 0 0 0 0 0 0 0 0 0
2000 .82911 0 0.17060 0 0.00029 0 0 0 0 0 0 0 0 0 0 0 0
2750 .82512 0 0.17453 0 0.00035 0 0 0 0 0 0 0 0 0 0 0 0
3500 .82130 0 0.17829 0 0.00041 0 0 0 0 0 0 0 0 0 0 0 0
5000 0.81449 0 0.18499 0 0.00052 0 0 0 0 0 0 0 0 0 0 0 0
6000 0.81009 0 0.18932 0 0.00059 0 0 0 0 0 0 0 0 0 0 0 0
7000 0.80552 0 0.19381 0 0.00067 0 0 0 0 0 0 0 0 0 0 0 0
8000 0.80107 0 0.19819 0 0.00074 0 0 0 0 0 0 0 0 0 0 0 0
8300 0.79961 0 0.19963 0 0.00076 0 0 0 0 0 0 0 0 0 0 0 0
8500 0.79873 0 0.20049 0 0.00078 0 0 0 0 0 0 0 0 0 0 0 0
9000 0.79663 0 0.20255 0 0.00082 0 0 0 0 0 0 0 0 0 0 0 0
9500 0.79442 0 0.20473 0 0.00085 0 0 0 0 0 0 0 0 0 0 0 0
10000 0.79257 0 0.20654 0 0.00089 0 0 0 0 0 0 0 0 0 0 0 0
12500 0.78261 0 0.21630 0 0.00109 0 0 0 0 0 0 0 0 0 0 0 0
15000 0.77329 0 0.22542 0 0.00129 0 0 0 0 0 0 0 0 0 0 0 0
20000 0.75608 0 0.24220 0 0.00172 0 0 0 0 0 0 0 0 0 0 0 0
25000 0.73775 0 0.26000 0 0.00225 0 0 0 0 0 0 0 0 0 0 0 0
30000 0.72315 0 0.27400 0 0.00285 0 0 0 0 0 0 0 0 0 0 0 0
35000 0.71050 0 0.28600 0 0.00350 0 0 0 0 0 0 0 0 0 0 0 0
40000 0.69785 0 0.29800 0 0.00415 0 0 0 0 0 0 0 0 0 0 0 0
45000 0.68755 0 0.30750 0 0.00495 0 0 0 0 0 0 0 0 0 0 0 0
50000 0.67780 0 0.31640 0 0.00580 0 0 0 0 0 0 0 0 0 0 0 0
54950 0.66836 0 0.32498 0 0.00666 0 0 0 0 0 0 0 0 0 0 0 0
58450 0.66227 0 0.33047 0 0.00726 0 0 0 0 0 0 0 0 0 0 0 0
75000 0.63839 0 0.35120 0 0.01040 0 0.00001 0 0 0 0 0 0 0 0 0 0
100000 0.60818 0 0.37631 0 0.01550 0 0.00001 0 0 0 0 0 0 0 0 0 0
125000 0.58478 0 0.39370 0 0.02150 0 0.00002 0 0 0 0 0 0 0 0 0 0
150000 0.56397 0 0.40800 0 0.02800 0 0.00003 0 0 0 0 0 0 0 0 0 0
175000 0.54697 0 0.41799 0 0.03500 0 0.00004 0 0 0 0 0 0 0 0 0 0
200000 0.53163 0 0.42632 0 0.04200 0 0.00005 0 0 0 0 0 0 0 0 0 0
225000 0.51843 0 0.43250 0 0.04900 0 0.00007 0 0 0 0 0 0 0 0 0 0
